Dataset,N,m,RMSE,Type
energy,600,0.0,0.1380319744348526,mll
energy,600,0.0,0.1934822052717209,mll
energy,600,0.0,0.10957123339176178,mll
energy,600,0.0,0.06422407925128937,mll
energy,600,0.0,0.16857405006885529,mll
energy,600,0.0,0.07994359731674194,mll
energy,600,0.0,0.13643348217010498,mll
energy,600,0.0,0.11845768988132477,mll
energy,600,0.0,0.08399166911840439,mll
energy,600,0.0,0.09505634754896164,mll
winewhite,200,0.0,1.1601533889770508,mll
winewhite,200,0.0,1.246147871017456,mll
winewhite,200,0.0,1.0332728624343872,mll
winewhite,200,0.0,1.1994833946228027,mll
winewhite,200,0.0,1.2297461032867432,mll
winewhite,200,0.0,1.5028574466705322,mll
winewhite,200,0.0,1.144352912902832,mll
winewhite,200,0.0,1.1489893198013306,mll
winewhite,200,0.0,1.1033226251602173,mll
winewhite,200,0.0,1.152936577796936,mll
energy,600,0.5,0.13074645400047302,cmll
energy,600,0.5,0.15204265713691711,cmll
energy,600,0.5,0.12471334636211395,cmll
energy,600,0.5,0.11446887999773026,cmll
energy,600,0.5,0.09550558030605316,cmll
energy,600,0.5,0.08811558783054352,cmll
energy,600,0.5,0.07109338790178299,cmll
energy,600,0.5,0.1413702815771103,cmll
energy,600,0.5,0.10396867245435715,cmll
energy,600,0.5,0.14797300100326538,cmll
concrete,100,0.1,0.5760802030563354,cmll
concrete,100,0.1,0.7055354714393616,cmll
concrete,100,0.1,0.608698308467865,cmll
concrete,100,0.1,0.6539908051490784,cmll
concrete,100,0.1,0.8827096223831177,cmll
concrete,100,0.1,0.6410728693008423,cmll
concrete,100,0.1,0.565136194229126,cmll
concrete,100,0.1,0.5628662705421448,cmll
concrete,100,0.1,0.6514975428581238,cmll
concrete,100,0.1,0.5927066206932068,cmll
winered,400,0.5,0.9827016592025757,cmll
winered,400,0.5,0.9902204871177673,cmll
winered,400,0.5,0.9589746594429016,cmll
winered,400,0.5,1.097486972808838,cmll
winered,400,0.5,1.2660595178604126,cmll
winered,400,0.5,0.84611976146698,cmll
winered,400,0.5,0.8743128776550293,cmll
winered,400,0.5,1.0660148859024048,cmll
winered,400,0.5,0.8070677518844604,cmll
winered,400,0.5,0.9702255129814148,cmll
power,400,0.75,0.27603858709335327,cmll
power,400,0.75,0.2676561772823334,cmll
power,400,0.75,0.28102681040763855,cmll
power,400,0.75,0.2690667510032654,cmll
power,400,0.75,0.2716268002986908,cmll
power,400,0.75,0.267391175031662,cmll
power,400,0.75,0.2634813189506531,cmll
power,400,0.75,0.2673182487487793,cmll
power,400,0.75,0.26774904131889343,cmll
power,400,0.75,0.26499125361442566,cmll
energy,400,0.0,0.1565404087305069,mll
energy,400,0.0,0.19076931476593018,mll
energy,400,0.0,0.12420964241027832,mll
energy,400,0.0,0.1451316624879837,mll
energy,400,0.0,0.14952616393566132,mll
energy,400,0.0,0.1798904836177826,mll
energy,400,0.0,0.15929026901721954,mll
energy,400,0.0,0.12277118116617203,mll
energy,400,0.0,0.17778395116329193,mll
energy,400,0.0,0.1376725286245346,mll
energy,400,0.1,0.07728413492441177,cmll
energy,400,0.1,0.09883266687393188,cmll
energy,400,0.1,0.1640540510416031,cmll
energy,400,0.1,0.12358862906694412,cmll
energy,400,0.1,0.1783658117055893,cmll
energy,400,0.1,0.14117898046970367,cmll
energy,400,0.1,0.17845293879508972,cmll
energy,400,0.1,0.21859805285930634,cmll
energy,400,0.1,0.09795758873224258,cmll
energy,400,0.1,0.18183137476444244,cmll
winewhite,100,0.5,1.0516259670257568,cmll
winewhite,100,0.5,1.0894618034362793,cmll
winewhite,100,0.5,1.1528229713439941,cmll
winewhite,100,0.5,1.2333070039749146,cmll
winewhite,100,0.5,1.1223400831222534,cmll
winewhite,100,0.5,1.1398422718048096,cmll
winewhite,100,0.5,1.085874080657959,cmll
winewhite,100,0.5,1.1343783140182495,cmll
winewhite,100,0.5,0.9891276359558105,cmll
winewhite,100,0.5,1.0573372840881348,cmll
power,600,0.0,0.27764537930488586,mll
power,600,0.0,0.2618369162082672,mll
power,600,0.0,0.2648317217826843,mll
power,600,0.0,0.2720682621002197,mll
power,600,0.0,0.2715996503829956,mll
power,600,0.0,0.26783376932144165,mll
power,600,0.0,0.2629797160625458,mll
power,600,0.0,0.2697891891002655,mll
power,600,0.0,0.26297762989997864,mll
power,600,0.0,0.27049702405929565,mll
winered,600,0.0,0.9880838394165039,mll
winered,600,0.0,0.9521912932395935,mll
winered,600,0.0,0.939086377620697,mll
winered,600,0.0,0.8945521712303162,mll
winered,600,0.0,0.8854236006736755,mll
winered,600,0.0,0.8521290421485901,mll
winered,600,0.0,0.888873279094696,mll
winered,600,0.0,1.0150527954101562,mll
winered,600,0.0,0.8480098247528076,mll
winered,600,0.0,0.9233535528182983,mll
winewhite,600,0.75,0.8605592250823975,cmll
winewhite,600,0.75,0.8826917409896851,cmll
winewhite,600,0.75,0.8849273920059204,cmll
winewhite,600,0.75,0.8630160093307495,cmll
winewhite,600,0.75,0.8633853793144226,cmll
winewhite,600,0.75,0.8252102136611938,cmll
winewhite,600,0.75,0.8698081970214844,cmll
winewhite,600,0.75,0.8511214852333069,cmll
winewhite,600,0.75,0.9033635258674622,cmll
winewhite,600,0.75,0.8492230176925659,cmll
boston,400,0.9,0.2819274961948395,cmll
boston,400,0.9,0.27644848823547363,cmll
boston,400,0.9,0.26733726263046265,cmll
boston,400,0.9,0.3228270411491394,cmll
boston,400,0.9,0.306088387966156,cmll
boston,400,0.9,0.2906971871852875,cmll
boston,400,0.9,0.2758500277996063,cmll
boston,400,0.9,0.29633861780166626,cmll
boston,400,0.9,0.28315505385398865,cmll
boston,400,0.9,0.29868125915527344,cmll
power,400,0.9,0.27101826667785645,cmll
power,400,0.9,0.277021199464798,cmll
power,400,0.9,0.266325980424881,cmll
power,400,0.9,0.2715774476528168,cmll
power,400,0.9,0.28180426359176636,cmll
power,400,0.9,0.2699856162071228,cmll
power,400,0.9,0.2670477032661438,cmll
power,400,0.9,0.27899226546287537,cmll
power,400,0.9,0.2740516662597656,cmll
power,400,0.9,0.2664676606655121,cmll
winewhite,100,0.1,0.9842448830604553,cmll
winewhite,100,0.1,1.171268105506897,cmll
winewhite,100,0.1,1.022798776626587,cmll
winewhite,100,0.1,1.1394994258880615,cmll
winewhite,100,0.1,1.1134237051010132,cmll
winewhite,100,0.1,1.2630983591079712,cmll
winewhite,100,0.1,1.0487957000732422,cmll
winewhite,100,0.1,1.0946416854858398,cmll
winewhite,100,0.1,1.052362084388733,cmll
winewhite,100,0.1,1.1549326181411743,cmll
winered,400,0.75,0.7668557167053223,cmll
winered,400,0.75,0.8720795512199402,cmll
winered,400,0.75,0.859939694404602,cmll
winered,400,0.75,0.7897547483444214,cmll
winered,400,0.75,0.7373077869415283,cmll
winered,400,0.75,0.7968676686286926,cmll
winered,400,0.75,0.8128949403762817,cmll
winered,400,0.75,0.8506518602371216,cmll
winered,400,0.75,0.8095213174819946,cmll
winered,400,0.75,0.7712584733963013,cmll
concrete,200,0.75,0.40753740072250366,cmll
concrete,200,0.75,0.5459290742874146,cmll
concrete,200,0.75,0.4735833406448364,cmll
concrete,200,0.75,0.5146687626838684,cmll
concrete,200,0.75,0.5553591251373291,cmll
concrete,200,0.75,0.4882126748561859,cmll
concrete,200,0.75,0.461452454328537,cmll
concrete,200,0.75,0.497871071100235,cmll
concrete,200,0.75,0.5223490595817566,cmll
concrete,200,0.75,0.4438755214214325,cmll
boston,200,0.0,0.37502172589302063,mll
boston,200,0.0,0.3619634211063385,mll
boston,200,0.0,0.37956929206848145,mll
boston,200,0.0,0.3217315673828125,mll
boston,200,0.0,0.4062047004699707,mll
boston,200,0.0,0.3335806727409363,mll
boston,200,0.0,0.3810829520225525,mll
boston,200,0.0,0.405027836561203,mll
boston,200,0.0,0.365408718585968,mll
boston,200,0.0,0.33488592505455017,mll
winewhite,600,0.9,0.8023175001144409,cmll
winewhite,600,0.9,0.7955372333526611,cmll
winewhite,600,0.9,0.8051438927650452,cmll
winewhite,600,0.9,0.8585366606712341,cmll
winewhite,600,0.9,0.7972303032875061,cmll
winewhite,600,0.9,0.8093701004981995,cmll
winewhite,600,0.9,0.8256633281707764,cmll
winewhite,600,0.9,0.844688355922699,cmll
winewhite,600,0.9,0.8151384592056274,cmll
winewhite,600,0.9,0.8067326545715332,cmll
concrete,600,0.0,0.40969300270080566,mll
concrete,600,0.0,0.33939504623413086,mll
concrete,600,0.0,0.3631330728530884,mll
concrete,600,0.0,0.4009922742843628,mll
concrete,600,0.0,0.3829672932624817,mll
concrete,600,0.0,0.4104537069797516,mll
concrete,600,0.0,0.39397984743118286,mll
concrete,600,0.0,0.40666255354881287,mll
concrete,600,0.0,0.3798651099205017,mll
concrete,600,0.0,0.389104962348938,mll
winered,100,0.1,1.1088300943374634,cmll
winered,100,0.1,0.9318859577178955,cmll
winered,100,0.1,1.0757791996002197,cmll
winered,100,0.1,1.062003493309021,cmll
winered,100,0.1,1.0028672218322754,cmll
winered,100,0.1,0.944939911365509,cmll
winered,100,0.1,1.1027560234069824,cmll
winered,100,0.1,1.2097489833831787,cmll
winered,100,0.1,1.1048855781555176,cmll
winered,100,0.1,0.9938604831695557,cmll
winewhite,100,0.0,1.5544071197509766,mll
winewhite,100,0.0,0.9872032999992371,mll
winewhite,100,0.0,1.498636245727539,mll
winewhite,100,0.0,1.047531247138977,mll
winewhite,100,0.0,1.07562255859375,mll
winewhite,100,0.0,1.6654958724975586,mll
winewhite,100,0.0,1.0793015956878662,mll
winewhite,100,0.0,1.070110559463501,mll
winewhite,100,0.0,0.9684647917747498,mll
winewhite,100,0.0,0.9907298684120178,mll
boston,200,0.9,0.31505322456359863,cmll
boston,200,0.9,0.34579113125801086,cmll
boston,200,0.9,0.3139863908290863,cmll
boston,200,0.9,0.3077079653739929,cmll
boston,200,0.9,0.35892510414123535,cmll
boston,200,0.9,0.31771954894065857,cmll
boston,200,0.9,0.33832570910453796,cmll
boston,200,0.9,0.3268651068210602,cmll
boston,200,0.9,0.3106411099433899,cmll
boston,200,0.9,0.3405627906322479,cmll
winered,400,0.0,0.8966575264930725,mll
winered,400,0.0,1.0937224626541138,mll
winered,400,0.0,0.9867281913757324,mll
winered,400,0.0,1.0259485244750977,mll
winered,400,0.0,1.0692110061645508,mll
winered,400,0.0,1.106279730796814,mll
winered,400,0.0,1.2679842710494995,mll
winered,400,0.0,1.003908634185791,mll
winered,400,0.0,1.1173689365386963,mll
winered,400,0.0,1.1829931735992432,mll
energy,100,0.1,0.27443546056747437,cmll
energy,100,0.1,0.2571510374546051,cmll
energy,100,0.1,0.22647839784622192,cmll
energy,100,0.1,0.32287612557411194,cmll
energy,100,0.1,0.2582375407218933,cmll
energy,100,0.1,0.32141822576522827,cmll
energy,100,0.1,0.256329745054245,cmll
energy,100,0.1,0.32260429859161377,cmll
energy,100,0.1,0.30375760793685913,cmll
energy,100,0.1,0.2883610427379608,cmll
energy,200,0.9,0.1947978138923645,cmll
energy,200,0.9,0.2153591364622116,cmll
energy,200,0.9,0.17449496686458588,cmll
energy,200,0.9,0.21551702916622162,cmll
energy,200,0.9,0.2021104395389557,cmll
energy,200,0.9,0.22307352721691132,cmll
energy,200,0.9,0.24015864729881287,cmll
energy,200,0.9,0.22684137523174286,cmll
energy,200,0.9,0.21616697311401367,cmll
energy,200,0.9,0.2320024073123932,cmll
concrete,600,0.9,0.3996135890483856,cmll
concrete,600,0.9,0.511239767074585,cmll
concrete,600,0.9,0.4354824125766754,cmll
concrete,600,0.9,0.44809746742248535,cmll
concrete,600,0.9,0.39570891857147217,cmll
concrete,600,0.9,0.41700971126556396,cmll
concrete,600,0.9,0.3562016189098358,cmll
concrete,600,0.9,0.44415631890296936,cmll
concrete,600,0.9,0.45687270164489746,cmll
concrete,600,0.9,0.44108548760414124,cmll
winered,100,0.0,1.0285444259643555,mll
winered,100,0.0,1.3902474641799927,mll
winered,100,0.0,1.0316098928451538,mll
winered,100,0.0,0.9924576282501221,mll
winered,100,0.0,1.1863409280776978,mll
winered,100,0.0,1.2679946422576904,mll
winered,100,0.0,1.0372817516326904,mll
winered,100,0.0,1.018620252609253,mll
winered,100,0.0,1.1233675479888916,mll
winered,100,0.0,1.1479300260543823,mll
